CLDECP|CLFACP|CDAGE|RASCL|RASC2|INDCL|LOCCL|PROCL|CCAPCP|PAIVCP|CDLIN|CDLIS|TPIVA|SCONTO
ALPENROS|ALPENROS|22|HOTEL ALPENROSE GMBH||BERGERWEG, 6|SCHENNA|BZ|39017|00862670213||01|N||
FURSTENH|FURSTENH|22|FURSTENHOF GMBH||VERDINS, 48|SCHENNA|BZ|39017|00684370216||03|N|00500|
GEORGEN|GEORGEN|22|REST. ST.GEORGEN|PFOSTL ALOIS JOHANN|GEORGENSTRASSE, 41|SCHENNA|BZ|39017|01560200212||01|N||
HAHNENKA|HAHNENKA|22|PENSION HAHNENKAMM KG|SCHROTT KATRIN & CO.|PICHLERSTRASSE, 33|SCHENNA|BZ|39017|00601600216||01|N||
HARTWIG|HARTWIG|22|PENSION GRAF HARTWIG|VERDORFER JOHANN|ST. GEORGENSTRASSE, 38/B|SCHENNA|BZ|39017|00093620219||01|N||
HASENEGG|HASENEGG|22|MOUNTAIN VILLAGE HASENEGG|DES HERTSCHEG PATRICK & CO KG.|SCHENNABERG, 2|SCHENNA|BZ|39017|01716390214||01|N||
HDORFS01|HDORFS01|22|HOGAST ITALIEN EINKAUFSGEN.|FUR DAS HOTEL- UND GASTGEWERBE|SCHLACHTHOFSTRASSE, 53-B|BOZEN|BZ|39100|01342330212||02|N||
HDORFSTU|HDORFS01|22|VERDINSER DORFSTUBM|VERDINSERHOF GMBH DR. ILLMER|VERDINS, 42|SCHENNA|BZ|39017|01342330212||02|N||
HERZHE01|HERZHE01|22|HOGAST ITALIEN EINKAUFSGEN.|FUR DAS HOTEL- UND GASTGEWERBE|SCHLACHTHOFSTRASSE, 53-B|BOZEN|BZ|39100|01342330212|||N||
HERZHERZ|HERZHE01|22|HOTEL ERZHERZOG JOHANN|PICHLER & CLARA GMBH|SCHLOSSWEG, 19|SCHENNA|BZ|39017|01342330212||02|N||
HHILBU01|HHILBU01|22|HOGAST ITALIEN EINKAUFSGEN.|FUR DAS HOTEL- UND GASTGEWERBE|SCHLACHTHOFSTRASSE, 53-B|BOZEN|BZ|39100|01342330212||01|N||
HHILBURG|HHILBU01|22|HILBURGER GMBH||ST.GEORGENSTASSE, 4/B|SCHENNA|BZ|39017|01342330212||02|N||
HMEINH01|HMEINH01|22|HOGAST ITALIEN EINKAUFSGEN.|FUR DAS HOTEL- UND GASTGEWERBE|SCHLACHTHOFSTRASSE, 53-B|BOZEN|BZ|39100|01342330212||01|N||
HMEINHAR|HMEINH01|22|PENSION MEINHARDT|FAM. KROLL PETER & CO. OHG|PICHLERSTRASSE, 18 B|SCHENNA|BZ|39017|01342330212||02|N||
HTAUSH01|HTAUSH01|22|HOGAST ITALIEN EINKAUFSGEN.|FUR DAS HOTEL- UND GASTGEWERBE|SCHLACHTHOFSTRASSE, 53-B|BOZEN|BZ|39100|01342330212||01|N||
HTAUSHOF|HTAUSH01|22|HOTEL TAUSHOF GMBH||SCHENNASTRASSE, 30|SCHENNA|BZ|39017|01342330212||02|N||
IFINGER|IFINGER|22|HOTEL IFINGER GMBH||VERDINSERSTRASSE,18|SCHENNA|BZ|39017|01190560217||01|N||
