CLDECP|CLFACP|CDAGE|RASCL|RASC2|INDCL|LOCCL|PROCL|CCAPCP|PAIVCP|CDLIN|CDLIS|TPIVA|SCONTO
ANTHEA|ANTHEA|05|PICHLER THOMAS|APPARTEMENT-HOTEL ANTHEA|SEMINARSTRASSE 30|DORF TIROL|BZ|39019|03009650213||01|N||
BAKERY|BAKERY|05|BAKERY - MY LITTLE BAKERY|GRUBER MICHAEL|HASLACHSTRAßE 50/A|DORF TIROL|BZ|39019|02932710219||01|N||
BELLEVUE|BELLEVUE|05|HOTEL BELLEVUE KG|DER KLOTZNER DAGMAR & CO. KG|SEGENBÜHELWEG, 21|DORF TIROL|BZ|39019|02347160216||01|N||
BRUNNHOF|BRUNNHOF|05|HOTEL BRUNNHOFER - KLOTZNER KG|DES KLOTZNER FRANZ & CO.|AICHWEG, 33|DORF TIROL|BZ|39019|00747310217||03|N||
CASTEL|CASTEL|05|HOTEL CASTEL GMBH||KESCHTNGASSE, 18|DORF TIROL|BZ|39019|02252660218||01|N|00400|
DORFCA01|DORFCA01|05|DORFCAFE' TIROL|ANDREAS LANGEBNER|HAUPTSTRASSE, 6-B|TIROL|BZ|39019|02821170210||01|N||
DORFMUHL|DORFMUHL|05|TÖRGGELEKELLER ZUR DORFMÜHLE|SCHNITZER MANFRED|HASLACHSTR. 15|DORF TIROL|BZ|39019|02834170215||01|N||
FERNBLIC|FERNBLIC|05|MATZOLL ANNALIES||SEGENBUEHELWEG, 13|DORF TIROL|BZ|39019|02462550217||01|N||
HERIKA|HERIKA01|05|HOTEL ERIKA OHG|MAIR ERIKA NESTL & CO|HAUPTSTRASSE, 39|DORF TIROL|BZ|39019|01342330212||02|N||
HERIKA01|HERIKA01|05|HOGAST ITALIEN EINKAUFSGEN.|FÜR DAS HOTEL- UND GASTGEWERBE|SCHLACHTHOFSTRASSE, 53-B|BOZEN|BZ|39100|01342330212||01|N||
HGARTN01|HGARTN01|05|HOGAST ITALIEN EINKAUFSGEN.|FÜR DAS HOTEL- UND GASTGEWERBE|SCHLACHTHOFSTRASSE, 53-B|BOZEN|BZ|39100|01342330212||01|N||
HGARTNER|HGARTN01|05|HOTEL GARTNER GMBH|FAM. GARTNER|HAUPTSTRASSE, 65|DORF TIROL|BZ|39019|01342330212||03|N||
HGOLSE01|HGOLSE01|05|HOGAST ITALIEN EINKAUFSGEN.|FÜR DAS HOTEL- UND GASTGEWERBE|SCHLACHTHOFSTRASSE, 53-B|BOZEN|BZ|39100|01342330212||01|N||
HGOLSERH|HGOLSE01|05|HOTEL GOLSERHOF KG|DER HILTRUD GUFLER & CO|AICHSTRAßE,32|DORF TIROL|BZ|39019|01342330212||02|N||
HJOHAN01|HJOHAN01|05|HOGAST ITALIEN EINKAUFSGEN.|FÜR DAS HOTEL- UND GASTGEWERBE|SCHLACHTHOFSTRASSE, 53-B|BOZEN|BZ|39100|01342330212|||N||
HJOHANNI|HJOHAN01|05|HOTEL JOHANNIS GMBH||AICHSTRASSE, 37|DORF TIROL|BZ|39019|01342330212||02|N||
HLAURI01|HLAURI01|05|HOGAST ITALIEN EINKAUFSGEN.|FÜR DAS HOTEL- UND GASTGEWERBE|SCHLACHTHOFSTRASSE, 53-B|BOZEN|BZ|39100|01342330212||01|N||
HLAURIN|HLAURI01|05|HOTEL LAURIN|DER ILLMER E. & S. KG|HAUPTSTRASSE, 35|DORF TIROL|BZ|39019|01342330212||02|N||
HOCHMUT|HOCHMUT|05|GASTHOF HOCHMUT|PIRCHER MAX|MUTHÖFWEG, 8|DORF TIROL|BZ|39019|02312760214||01|N||
HORTLE01|HORTLE01|05|HOGAST ITALIEN EINKAUFSGEN.|FÜR DAS HOTEL- UND GASTGEWERBE|SCHLACHTHOFSTRASSE, 53-B|BOZEN|BZ|39100|01342330212|||N||
HORTLER|HORTLE01|05|HOTEL ORTLER|DORF TIROL HOTELS GMBH|LINGWEG, 18|DORF TIROL|BZ|39019|01342330212||02|N||
HSONNB01|HSONNB01|05|HOGAST ITALIEN EINKAUFSGEN.|FÜR DAS HOTEL- UND GASTGEWERBE|SCHLACHTHOFSTRASSE, 53-B|BOZEN|BZ|39100|01342330212||01|N||
HSONNBIC|HSONNB01|05|HOTEL SONNBICHL GMBH|FAM. JAEGER|SEGENBUEHELSTRASSE, 15|DORF TIROL|BZ|39019|01342330212||02|N||
HSTROB02|HSTROB03|05|LANDSITZ STROBLHOF GMBH||AICHWEG, 29/29|DORF TIROL|BZ|39019|01342330212||02|N||
HSTROB03|HSTROB03|05|HOGAST ITALIEN EINKAUFSGEN.|FÜR DAS HOTEL- UND GASTGEWERBE|SCHLACHTHOFSTRASSE, 53-B|BOZEN|BZ|39100|01342330212|||N||
HZAGLE01|HZAGLE01|05|HOGAST ITALIEN EINKAUFSGEN.|FÜR DAS HOTEL- UND GASTGEWERBE|SCHLACHTHOFSTRASSE, 53-B|BOZEN|BZ|39100|01342330212|||N||
HZAGLER|HZAGLE01|05|AM SONNENHANG GMBH|ZAGLER STEFAN|HAUPTSTRASSE, 19|DORF TIROL|BZ|39019|01342330212||03|N||
ILLMER|ILLMER|05|PENSION ILLMER|ILLMER FRANZ|HAUPTSTRAßE, 34|DORF TIROL|BZ|39019|00198160210||01|N||
LINDEN01|LINDEN01|05|LINDENWIRT|DES MAIR ROLAND & CO. OHG|SEMINARSTRASSE, 3/A|DORF TIROL|BZ|39019|01480230216||01|N||
MAIRAMTU|MAIRAMTU|05|HOTEL GASTHOF MAIR AM TURM|PRANTL HERMANN|HAUPSTR. 3|DORF TIROL|BZ|39019|00677580219||01|N||
MILCHBAR|MILCHBAR|05|OBEX WILFRIED|MOLKEREI - MILCHBAR|HAUPTSTRASSE, 18|DORF TIROL|BZ|39019|00770170215||01|N||
OBERHOCH|OBERHOCH|05|HOFSCHANK OBERHOCHMUT|PIRCHER FLORIAN|MUTHÖFE, 9|DORF TIROL|BZ|39019|03014810216||01|N||
