CLDECP|CLFACP|CDAGE|RASCL|RASC2|INDCL|LOCCL|PROCL|CCAPCP|PAIVCP|CDLIN|CDLIS|TPIVA|SCONTO
HBAVAR01|HBAVAR01|10|HOGAST ITALIEN EINKAUFSGEN.|FUR DAS HOTEL- UND GASTGEWERBE|SCHLACHTHOFSTRASSE, 53-B|BOZEN|BZ|39100|01342330212||02|N||
HBAVAR02|HBAVAR03|10|WEIHNACHTSMARKT BAVARIA|HOTEL BAVARIA|KIRCHSTEIG, 15|OBERMAIS MERAN|BZ|39012|01342330212||02|N||
HBAVAR03|HBAVAR03|10|HOGAST ITALIEN EINKAUFSGEN.|FUR DAS HOTEL- UND GASTGEWERBE|SCHLACHTHOFSTRASSE, 53-B|BOZEN|BZ|39100|01342330212||02|N||
HBAVARIA|HBAVAR01|10|HOTEL BAVARIA GMBH||KIRCHSTEIG, 15|OBERMAIS MERAN|BZ|39012|01342330212||02|N||
HILLEB01|HILLEB01|10|HOTEL HILLEBRAND|D.HILLEBRAND EDMUND|TISENS,53/B|TISENS|BZ|39010|00722390218||01|N||
HOFBRUNN|HOFBRUNN|10|HOTEL HOFBRUNN KG|DES HEHL LIEPHART MICHAEL & CO.|JAUFENSTR. 14|RIFFIAN|BZ|39010|03142720212||01|N||
HOFERHOF|HOFERHOF|10|HOFERHOF|KROLL ROBERT|SCHENNABERG, 6|SCHENNA|BZ|39017|02473450217||01|N||
LOWENW01|LOWENW01|10|LOWENWIRT|LAHNER ANDREA OHG & CO.|JAUFENSTRASSE, 52|RIFFIAN|BZ|39010|02868630217||01|N||
PZIRME01|PZIRME01|10|GASTRO-POOL ITALIEN GMBH||SCHLACHTHOFSTRASSE, 53-B|BOZEN|BZ|39100|02616790214||02|N||
PZIRMERH|PZIRME01|10|HOTEL ZIRMERHOF|ORTNER GERLINDE|HOHLGASSE, 40|RIFFIAN|BZ|39010|02616790214||02|N||
SABINE02|SABINE02|10|LA GELATERIA SABINE SRL||VIA GARIBALDI,21|MERANO|BZ|39012|00679240218|1|01|N||
UNTERW01|UNTERW01|10|PENSION UNTERWEGER|WALZL KLARA|JAUFENSTRASSE, 36|RIFFIAN|BZ|39010|01014920217||01|N||
UNTERW03|UNTERW03|10|CAFE U OHG|DES UNTERWEGER MANUEL & CO.|JAUFENSTRASSE, 34|RIFFIAN|BZ|39010|02251890212||01|N||
WAALER|WAALER|10|WAALER HUTTE|KAUFMANN HEINRICH|VERDINS, 6|SCHENNA|BZ|39017|02310260217||01|N||
