CLDECP|CLFACP|CDAGE|RASCL|RASC2|INDCL|LOCCL|PROCL|CCAPCP|PAIVCP|CDLIN|CDLIS|TPIVA|SCONTO
ALPENFRI|ALPENFRI|04|GASTHOF HOTEL ALPENFRIEDE|KLÖCKNER SYLVIA & CO.OHG|LANGTAUFERS GSCHWELL 7|GRAUN|BZ|39027|01311350217||01|N||
ALPINOVA|ALPINOVA|04|ALPINOVA GMBH V.S.R.L.S.||TALAIWEG, 11/B|SAN VALENTINO ALLA MUTA|BZ|39027|03210730218|1|01|N||
AURAMONT|AURAMONT|04|AURAMONTE|ROMAN THEINER VGMBH|WALDWEG, 21|ST. VALENTIN GRAUN|BZ|39027|03152230219||01|N||
BRIGITTE|BRIGITTE|04|APARTHOTEL BURGUS|THÖNI LORENZ & BRIGITTE OHG|BURGEIS, 171|MALS|BZ|39024|00541100210||01|N||
CURNIS|CURNIS|04|CURNIS VALENTINO|LEBENSMITTEL|LANDSTR. 18|ST. VALENTIN A.D.H.|BZ|39020|00240910216||01|N||
ETSCHQUE|ETSCHQUE|04|HOTEL ETSCHQUELLE OHG|DES CALDI RICHARD & CO.|NEUDORF, 43|GRAUN RESCHEN|BZ|39027|02243740210||01|N||
FLORIAN|FLORIAN|04|PENSION FLORIAN|PUNT FLORIAN|BURGEIS,43|BURGEIS/MALS|BZ|39024|02685360212||01|N||
FOLIE|FOLIE|04|FOLIE VERENA||HAUPTSTRASSE 21/A|RESCHEN|BZ|39027|03093060212||01|N||
FOLIE01|FOLIE01|04|FOLIE GÜNTHER|LEBENSMITTEL WEINE|RESCHEN 32|RESCHEN|BZ|39027|00484580212||01|N||
FURSTE01|FURSTE03|04|SCHÜLERHEIM FÜRSTENBURG||BURGEIS, 7|MALS  103033|BZ|39024|02607440217|||N|01880|
FURSTE02|FURSTE02|04|EMPORIUM GENOSSENSCHAFT|CIG: Z7424A7144  COD: 601.138|INNSBRUCKERSTRASSE, 23|BOZEN|BZ|39100|02607440217|||N||
FURSTE03|FURSTE03|04|EMPORIUM GENOSSENSCHAFT|CIG: Z7424A7144  COD: 602.138|INNSBRUCKERSTRASSE, 23|BOZEN|BZ|39100|02607440217|||N||
GAPRES|GAPRES01|04|SCIURI APRES-SKI-LOKAL TALSTATION|SCHÖNEBEN - SCHÖNEBEN AG|ALTDORF, 39|RESCHEN|BZ|39027|01389380211||03|N|00500|
GAPRES01|GAPRES01|04|G.E.S. GMBH| LÖWECENTER|EISACKSTRASSE, 1|VAHRN|BZ|39040|01389380211||01|N|00200|
GERDA|GERDA|04|RESTAURANT GERDA OHG & CO.|D. FABI GERDA|BURGEIS, 65|MALS|BZ|39024|02430070215||01|N||
GHAIDER|GHAIDER0|04|HAIDERALM RESTAURANT LIFTSTATION|SCHÖNEBEN AG|ALTDORF, 39|RESCHEN|BZ|39027|01389380211||03|N|00500|
GIGLU|GIGLU01|04|IGLU APRES-SKI-LOKAL ST. VALENTIN|TALSTATION GONDELBAHN -SCHÖNEBEN AG|ALTDORF, 39|RESCHEN|BZ|39027|01389380211||03|N|00500|
GIGLU01|GIGLU01|04|G.E.S. GMBH| LÖWECENTER|EISACKSTRASSE, 1|VAHRN|BZ|39040|01389380211||01|N|00200|
GLETSCHE|GLETSCHE|04|BAR RESTAURANT GLETSCHERBLICK|PATSCHEIDER WILFRIED KG & CO.|KAPPL 1 - LANGTAUFERS|GRAUN I.V.|BZ|39027|02935740213||01|N||
GLEVEL|GLEVEL01|04|LEVEL APRES-SKI-LOKAL TALSTATION|SCHÖNEBEN - SCHÖNEBEN AG|ALTDORF, 39|RESCHEN|BZ|39027|01389380211||03|N|00500|
GLEVEL01|GLEVEL01|04|G.E.S. GMBH| LÖWECENTER|EISACKSTRASSE, 1|VAHRN|BZ|39040|01389380211||01|N|00200|
GSCHON01|GSCHON01|04|G.E.S. GMBH| LÖWECENTER|EISACKSTRASSE, 1|VAHRN|BZ|39040|01389380211||01|N|00200|
GSCHONEB|GSCHON01|04|SELF-SERVICE RESTAURANT SCHÖNEBEN|BERGSTATION - SCHÖNEBEN AG|ALTDORF, 39|RESCHEN|BZ|39027|01389380211||03|N|00500|
HAIDEBAR|HAIDEBAR|04|HAIDEPARK|THEODOR KUENRATH|BURGEIS, 138|MALS|BZ|39024|01482410212||01|N||
HGARBE01|HGARBE01|04|HOGAST ITALIEN EINKAUFSGEN.|FÜR DAS HOTEL- UND GASTGEWERBE|SCHLACHTHOFSTRASSE, 53-B|BOZEN|BZ|39100|01342330212|||N||
HGARBERH|HGARBE01|04|HOTEL GARBERHOF|POBITZER ARTUR & CO. OHG|STAATSSTRASSE, 25|MALS|BZ|39024|01342330212||02|N||
HGERST01|HGERST01|04|HOGAST ITALIEN EINKAUFSGEN.|FÜR DAS HOTEL- UND GASTGEWERBE|SCHLACHTHOFSTRASSE, 53-B|BOZEN|BZ|39100|01342330212||02|N||
HGERSTL|HGERST01|04|HOTEL GERSTL|DAS GERSTL GMBH|SCHLINIG, 4|MALS|BZ|39024|01342330212||02|N||
HHIRSC01|HHIRSC01|04|HOGAST ITALIEN EINKAUFSGEN.|FÜR DAS HOTEL- UND GASTGEWERBE|SCHLACHTHOFSTRASSE, 53-B|BOZEN|BZ|39100|01342330212||02|N||
HHIRSCHE|HHIRSC01|04|HOTEL GARNI ZUM HIRSCHEN|DES STECHER JOSEF|BAHNHOFSTRASSE, 2|MALS|BZ|39024|01342330212||02|N||
HRESCH01|HRESCH01|04|HOGAST ITALIEN EINKAUFSGEN.|FÜR DAS HOTEL- UND GASTGEWERBE|SCHLACHTHOFSTRASSE, 53-B|BOZEN|BZ|39100|01342330212||02|N||
HRESCHEN|HRESCH01|04|HOTEL AM RESCHENSEE|THE DILITZ COMPANY SRL|HAUPTSTRASSE, 14|RESCHEN|BZ|39027|01342330212||02|N||
HTRAUB01|HTRAUB01|04|HOGAST ITALIEN EINKAUFSGEN.|FÜR DAS HOTEL- UND GASTGEWERBE|SCHLACHTHOFSTRASSE, 53-B|BOZEN|BZ|39100|01342330212|||N||
HTRAUBEP|HTRAUB01|04|HOTEL TRAUBE POST|THEINER KARLHEINZ & CO. KG|CLAUDIA AUGUSTA STARSSE, 10|GRAUN IM VINSCHGAU|BZ|39027|01342330212||03|N||
HWATLE01|HWATLE01|04|HOGAST ITALIEN EINKAUFSGEN.|FÜR DAS HOTEL- UND GASTGEWERBE|SCHLACHTHOFSTRASSE, 53-B|BOZEN|BZ|39100|01342330212||01|N||
HWATLES|HWATLE01|04|HOTEL WATLES|ZIERNHELD GEORG|PRAEMAJUR, 49 SCHLINIG|MALS|BZ|39024|01342330212||03|N||
HWEISS02|HWEISS02|04|HOGAST ITALIEN EINKAUFSGEN.|FÜR DAS HOTEL- UND GASTGEWERBE|SCHLACHTHOFSTRASSE, 53-B|BOZEN|BZ|39100|01342330212||02|N||
HWEISSES|HWEISS02|04|HOTEL WEISSES KREUZ KG|D. THEINER MAIR CHRISTINA & C.|HAUPTPLATZ, 82|BURGEIS|BZ|39024|01342330212||02|N||
IMBISS|IMBISS|04|IMBISS TALSTATION|TOURISTIK & FREIZEIT GMBH|VIA S. BENEDIKT 1|MALS|BZ|39024|00155580210||01|N||
KOLLEMAN|KOLLEMAN|04|HOTEL ALPENJUWEL|KÖLLEMANN HELMUTH & CO. KG|LANGTAUFERS-MELAG 102|GRAUN/VINSCHGAU|BZ|39020|01200820213||01|N||
LAMPL|LAMPL|04|RESTAURANT PIZZERIA LAMPL|GERSTGRASSER KASPAR & MONIKA|DR. H. FLORASTR. 4|MALS|BZ|39024|01729910214||01|N||
LANDESVE|LANDESVE|04|LANDESVERBAND|DER HANDWERKER|BOZNER BODEN MITTERWEG, 7|BOZEN|BZ|39100|80013410214||01|N||
