CLDECP|CLFACP|CDAGE|RASCL|RASC2|INDCL|LOCCL|PROCL|CCAPCP|PAIVCP|CDLIN|CDLIS|TPIVA|SCONTO
ALTERS23|ALTERS24|08|STIFTUNG PILSENHOF||KIRCHGASSE, 24|TERLAN   100020|BZ|39018|02607440217|||N|02880|
ALTERS24|ALTERS24|08|EMPORIUM GENOSSENSCHAFT|COD: 100020|INNSBRUCKERSTRASSE, 23|BOZEN|BZ|39100|02607440217|||N||
ANDREA|ANDREA|08|CAFE'ANDREA|D.TRAFOJER PIUS & CO.OHG|THALGUTERSTRASSE,20|ALGUND|BZ|39022|01369950215||01|N||
ASCHBACH|ASCHBACH|08|GASTHAUS ASCHBACHERHOF OHG|DER MENGHIN ERIKA|ASCHBACH, 24|ALGUND|BZ|39022|02454210218||01|N||
ERSCHBAM|ERSCHBAM|08|CAFE' ERSCHBAMER|EGGER PETER|GREGOR GASSER STR. 14|NALS|BZ|39010|01335360218||01|N||
ETSCHGRU|ETSCHGRU|08|REST. ETSCHGRUND|ERB HELGA ANNA|BAHNHOFSTR. 14|BURGSTALL|BZ|39010|01129080212||01|N||
FLORA|FLORA|08|PENSION FLORA|DES LADURNER GUNTHER KG|HUEBENWEG, 1|ALGUND|BZ|39022|01192940219||01|N||
GERTA|GERTA01|08|CAFE' GERTA|STIMPFL TANJA|MITTERTERZERSTR. 3|MARLING|BZ|39020|02343700213||01|N||
GERTA01|GERTA01|08|CAFE GERTA|STIMPFL TANJA|MAX VALIER STRASSE, 5-2|MARLING|BZ|39020|02343700213||01|N||
GRUNERBA|GRUNERBA|08|GASTHOF GRUNER BAUM|INH.UNGERER REINHOLD|ROMSTRASSE,7|GARGAZON|BZ|39010|00678350216||01|N||
HAPPM|HAPPM|08|IMBISS HAPPM PAPPM|ALBER KARL HEINZ|LUIS ZUEGG STRASSE, 1|LANA|BZ|39011|01636230219||01|N||
HAPPM01|HAPPM01|08|HAPPM PAPPM LANA|ALBER MICHAEL|SCHNATTERPECKSTRASSE, 22|LANA|BZ|39011|03062730217||01|N||
HELISA01|HELISA01|08|HOGAST ITALIEN EINKAUFSGEN.|FUR DAS HOTEL- UND GASTGEWERBE|SCHLACHTHOFSTRASSE, 53-B|BOZEN|BZ|39100|01342330212|||N||
HGERHA01|HGERHA01|08|HOGAST ITALIEN EINKAUFSGEN.|FUR DAS HOTEL- UND GASTGEWERBE|SCHLACHTHOFSTRASSE, 53-B|BOZEN|BZ|39100|01342330212|||N||
HIRSCH02|HIRSCH02|08|REST. ZUM HIRSCHEN|FONTANA MICHAEL|NALSERSTRASSE, 22|VILPIAN|BZ|39018|02999720218||01|N||
HJAGDH01|HJAGDH01|08|HOGAST ITALIEN EINKAUFSGEN.|FUR DAS HOTEL- UND GASTGEWERBE|SCHLACHTHOFSTRASSE, 53-B|BOZEN|BZ|39100|01342330212||01|N||
HJAGDHOF|HJAGDH01|08|GIARDINO MARLING GMBH|KLAMMER ULRIKE|ST.FELIXWEG, 18|MARLING|BZ|39020|01342330212||02|N||
HLAMAJ01|HLAMAJ01|08|HOGAST ITALIEN EINKAUFSGEN.|FUR DAS HOTEL- UND GASTGEWERBE|SCHLACHTHOFSTRASSE, 53-B|BOZEN|BZ|39100|01342330212||01|N||
HLAMAJE|HLAMAJ01|08|LA MAIENA MERAN RESORT|WALDNER GMBH|NORDERSTRASSE, 15|MARLING|BZ|39020|01342330212||02|N||
HMARLE02|HMARLE02|08|HOGAST ITALIEN EINKAUFSGEN.|FUR DAS HOTEL- UND GASTGEWERBE|SCHLACHTHOFSTRASSE, 53-B|BOZEN|BZ|39100|01342330212||01|N||
HMARLENA|HMARLE02|08|HOTEL MARLENA GMBH|INDERST JOHANN|NORDERSTRASSE, 6|MARLING|BZ|39020|01342330212||03|N||
HWESSO01|HWESSO01|08|HOGAST ITALIEN EINKAUFSGEN.|FUR DAS HOTEL- UND GASTGEWERBE|SCHLACHTHOFSTRASSE, 53-B|BOZEN|BZ|39100|01342330212|||N||
HWESSOBR|HWESSO01|08|HOTEL WESSOBRUNN|D. GUNTHER MAIR|LAURINSTRASSE, 99|MERAN|BZ|39012|01342330212||02|N||
