CLDECP|CLFACP|CDAGE|RASCL|RASC2|INDCL|LOCCL|PROCL|CCAPCP|PAIVCP|CDLIN|CDLIS|TPIVA|SCONTO
ALPENROS|ALPENROS|01|HOTEL ALPENROSE GMBH||BERGERWEG, 6|SCHENNA|BZ|39017|00862670213||01|N||
EGGERHOF|EGGERHOF|01|GASTHAUS EGGERHOF|WALZL GEORG|SCHENNABERG, 32|SCHENNA|BZ|39017|02840510214||01|N||
GEORGEN|GEORGEN|01|REST. ST.GEORGEN|PFÖSTL ALOIS JOHANN|GEORGENSTRASSE, 41|SCHENNA|BZ|39017|01560200212||01|N||
HAHNENKA|HAHNENKA|01|PENSION HAHNENKAMM KG|SCHROTT KATRIN & CO.|PICHLERSTRAßE, 33|SCHENNA|BZ|39017|00601600216||01|N||
HBAUMG01|HBAUMG01|01|HOGAST ITALIEN EINKAUFSGEN.|FÜR DAS HOTEL- UND GASTGEWERBE|SCHLACHTHOFSTRASSE, 53-B|BOZEN|BZ|39100|01342330212|||N||
HBAUMGAR|HBAUMG01|01|BAUMGARTNER'S BLUMENHOTEL|D. PIRCHER HELENE & CO. KG|VERDINSERSTRASSE, 11/B|SCHENNA|BZ|39017|01342330212||02|N||
HGUTEN01|HGUTEN01|01|HOGAST ITALIEN EINKAUFSGEN.|FÜR DAS HOTEL- UND GASTGEWERBE|SCHLACHTHOFSTRASSE, 53-B|BOZEN|BZ|39100|01342330212||02|N||
HGUTENBE|HGUTEN01|01|HOTEL GUTENBERG|AINHAUSER HANSJÖRG|IFINGERSTRASSE, 14|SCHENNA|BZ|39017|01342330212||02|N||
HHILBU01|HHILBU01|01|HOGAST ITALIEN EINKAUFSGEN.|FÜR DAS HOTEL- UND GASTGEWERBE|SCHLACHTHOFSTRASSE, 53-B|BOZEN|BZ|39100|01342330212||01|N||
HHILBURG|HHILBU01|01|HILBURGER GMBH||ST.GEORGENSTASSE, 4/B|SCHENNA|BZ|39017|01342330212||02|N||
HHIRZE02|HHIRZE03|01|OLIVEN- & GENUSSHOTEL HIRZER|TSCHOEL ANDREAS STEFAN|IFINGER STRASSE, 5|SCHENNA|BZ|39017|01342330212||02|N||
HHIRZE03|HHIRZE03|01|HOGAST ITALIEN EINKAUFSGEN.|FÜR DAS HOTEL- UND GASTGEWERBE|SCHLACHTHOFSTRASSE, 53-B|BOZEN|BZ|39100|01342330212||02|N||
HHOHEN01|HHOHEN01|01|HOGAST ITALIEN EINKAUFSGEN.|FÜR DAS HOTEL- UND GASTGEWERBE|SCHLACHTHOFSTRASSE, 53-B|BOZEN|BZ|39100|01342330212||02|N||
HHOHENWA|HHOHEN01|01|HOTEL HOHENWART GMBH||VERDINSERSTRASSE, 5|SCHENNA|BZ|39017|01342330212||02|N||
HMEINH01|HMEINH01|01|HOGAST ITALIEN EINKAUFSGEN.|FÜR DAS HOTEL- UND GASTGEWERBE|SCHLACHTHOFSTRASSE, 53-B|BOZEN|BZ|39100|01342330212||01|N||
HMEINHAR|HMEINH01|01|PENSION MEINHARDT|FAM. KRÖLL PETER & CO. OHG|PICHLERSTRASSE, 18 B|SCHENNA|BZ|39017|01342330212||02|N||
HOFLER|HOFLER|01|KONDITOREI HÖFLER|DER BARBARA HÖFLER OHG|VERDINSERSTR. 3|SCHENNA|BZ|39017|01479830216||01|N||
HRESMA01|HRESMA01|01|HOGAST ITALIEN EINKAUFSGEN.|FÜR DAS HOTEL- UND GASTGEWERBE|SCHLACHTHOFSTRASSE, 53-B|BOZEN|BZ|39100|01342330212||02|N||
HRESMAIR|HRESMA01|01|PANORAMAHOTEL RESMAIRHOF|UNTERTHURNER RUDOLF|SCHENNASTRASSE, 11|SCHENNA|BZ|39017|01342330212||02|N||
HSCHENNE|HSCHEN01|01|SCHENNERHOF GMBH||SCHENNASTRASSE, 3|SCHENNA|BZ|39017|01342330212||02|N||
HSCHLO01|HSCHLO01|01|HOGAST ITALIEN EINKAUFSGEN.|FÜR DAS HOTEL- UND GASTGEWERBE|SCHLACHTHOFSTRASSE, 53-B|BOZEN|BZ|39100|01342330212||01|N||
HSCHLOSS|HSCHLO01|01|SCHLOSSWIRT|PRUNNER JOSEF|SCHLOSSWEG,2|SCHENNA|BZ|39017|01342330212||02|N||
HSTARK01|HSTARK01|01|HOGAST ITALIEN EINKAUFSGEN.|FÜR DAS HOTEL- UND GASTGEWERBE|SCHLACHTHOFSTRASSE, 53-B|BOZEN|BZ|39100|01342330212||01|N||
HSTARKEN|HSTARK01|01|HOTEL STARKENBERG KG|DES MAIR FRANZ & CO.|VERDINSERSTRASSE, 10|SCHENNA|BZ|39017|01342330212||02|N||
HSTEIE01|HSTEIE01|01|HOGAST ITALIEN EINKAUFSGEN.|FÜR DAS HOTEL- UND GASTGEWERBE|SCHLACHTHOFSTRASSE, 53-B|BOZEN|BZ|39100|01342330212||01|N||
HSTEIERH|HSTEIE01|01|GASTHOF GSTEIER||GSTEIERWEG, 3|SCHENNA|BZ|39017|01342330212||02|N||
IFINGER|IFINGER|01|HOTEL IFINGER GMBH||VERDINSERSTRASSE,18|SCHENNA|BZ|39017|01190560217||01|N||
MONIKA|MONIKA|01|RESTAURANT CAFE' MONIKA|MARILU SRLS|VIA VERDINES, 2|SCHENNA|BZ|39017|03245650217|1|02|N||
PETERMAN|PETERMAN|01|PETERMANN - H&K PARTNERS V GMBH||ST. GEORGENSTRASSE, 5/A|SCHENNA|BZ|39017|03289880217||01|N||
PPICHL01|PPICHL01|01|GASTRO-POOL ITALIEN GMBH||SCHLACHTHOFSTRASSE, 53-B|BOZEN|BZ|39100|02616790214||02|N||
