CLDECP|CLFACP|CDAGE|RASCL|RASC2|INDCL|LOCCL|PROCL|CCAPCP|PAIVCP|CDLIN|CDLIS|TPIVA|SCONTO
357|35701|00|TRECINQUESETTE|RUBINA & PULSAR SRL|VIA PLANKENSTEIN, 5|MERANO|BZ|39012|03017190210|1|03|N||
ADRIA|ADRIA01|00|HOTEL ADRIA||GILMSTRASSE,2|MERAN|BZ|39012|02824360214||01|N|00700|
AFEGG|AFEGG|00|AF EGG 35|KASERER MARKUS|ST. MARTIN IM KOFEL, 35|LATSCH|BZ|39021|01484850217||01|N||
AGOSTINI|AGOSTINI|00|AGOSTINI M. CO GEN.M.B.H.||RENNSTALLWEG, 81|MERAN|BZ|39012|00770560217||01|N||
ALEX|ALEX|00|BAR RIST. ALEX SOC. A.G.A.|MELCHIORI ANNA & C.|VICOLO DELLA ROGGIA, 2|MERANO|BZ|39012|02240150215|1|01|N||
ALMBERGE|ALMBERGE|00|ALMBERGER JOSEF||GRUBERHOF, 49|VERDINS / SCHENNA|BZ|39017|00498420215||01|N||
ALPENVER|ALPENVER|00|ALPENVEREIN SUDTIROL||GALILEISTRASSE, 45|MERAN|BZ|39012|01625120215||01|N||
ALPINI|ALPINI|00|ASSOC. NAZ. ALPINI|SEZ. ALTO ADIGE|VIA S. QUIRINO 50/A|BOLZANO|BZ|39100|80017430218|1|01|N||
ALTERS01|ALTERS01|00|ALTERS-PFLEGEHEIM TISENS|ST. MICHAEL|DORF, 33/A|TISENS|BZ|39010|00713650216|||N|01630|
ALTERS05|ALTERS05|00|ALTERSHEIMSTIFTUNG|MATHIAS LADURNER 100021|M. LADURNERSTR. 2|ALGUND|BZ|39022|02607440217|||N|03230|
ALTERSHE|ALTERSHE|00|SENIORENHEIM PITSCH||GAMPENSTRASSE, 3|MERAN|BZ|39012|00558860219|||N|00680|
AMATORI|AMATORI|00|FARMACIA DR.SSA AMATORI MARIA PAOLA||PIAZZA VITTORIO VENETO, 9|SINIGO MERANO|BZ|39010|01561450212|1|01|N||
ANA|ANA|00|ANA SINIGO||VIA NAZIONALE, 60|SINIGO - MERANO|BZ|39012|91002100211|1|01|N||
ANNA|ANNA|00|PENSION ANNA|PLATZER ELISABETH|SULDEN 22 BIS|STILFS|BZ|39020|00314090218||01|N||
ANNABELL|ANNABELL|00|HOTEL ANNABELL|D. REGELE G. & CO. OHG|O.GAIGHERSTR.2|MERAN|BZ|39012|02445640218||01|N||
APPETIT|APPETIT|00|MENSA APPETIT|LANA CATERING KG|D. UNTERHOLZNER SERAFIN|MONTECATINISTR. SINICH|BZ|39010|02260380213||01|N|00500|
ARCHEOPA|ARCHEOPA|00|ARCHEOPARK SCHNALS|GES MBH|UNSERE FRAU, 163|SCHNALS|BZ|39020|02277020216||01|N||
ARISTON|ARISTON|00|CAFE ARISTON|RIGHI MONIKA|GALLERIA ARISTON N. 33/C|MERANO|BZ|39012|00544230212|1|01|N||
ARKADEAA|ARKADEAA|00|ARKADE KG|DER JASMIN BINI|SEILBAHNGASSE, 4/A|MERAN|BZ|39012|02285520215||01|N||
ARKOM|ARKOM|00|ARKOM SAS|RUGGERO STIZZOLI & CO.|VIA KUPERION, 2|MERANO|BZ|39012|01283040218|1|01|N||
ASM|ASM|00|ASSOC. SPORTIVA MERANO||VIA FORO BOARIO, 10|MERANO|BZ|39012|01666890213|1|01|N||
ASM01|ASM01|00|A.S. MERANO A.S.D. BIKE TEAM||VIA LIDO, 4|MERANO|BZ|39012|01666890213|1|01|N||
ASSOCI01|ASSOCI01|00|ASSOC. CUOCHI|MERANO - BOLZANO|VIA MAINARDO, 168|MERANO|BZ|39012|02288400217|1|01|N||
AUSSER02|AUSSER03|00|AUSSERER MONIKA||OBSTSTAND KORNPLATZ|MERAN|BZ|39012|01730240213||01|N||
AUSSER03|AUSSER03|00|AUSSERER MONIKA||TIEFACKERWEG, 23-IV|MARLING|BZ|39020|01730240213||01|N||
AUSSERER|AUSSER01|00|DELIKATESSEN AUSSERER|DES AUSSERER ANTON KG|P.ZZA DUOMO CHIOSCO N.2 E N.3|MERANO|BZ|39012|02949110213||01|N||
AUTOINDU|AUTOINDU|00|AUTOINDUSTRIALE G.M.B.H.||GALVANISTRASSE, 41|BOZEN|BZ|39100|00302800214||01|N||
AUTONOME|AUTONOME|00|AUTON. PROV. BOZEN ABT. 20|LEHRLINGSWETTBEWERB|DANTESTRASSE, 11|BOZEN|BZ|39100|00390090215||01|N||
AVIS|AVIS|00|AVIS||VIA GOETHE, 50|MERANO|BZ|39012|82012610216|1|01|N||
AVIS01|AVIS01|00|AVIS|LANDESSEKTION BOZEN|MARCONISTRASSE, 4|BOZEN|BZ|39100|94071540218||01|N||
AVIS02|AVIS02|00|AVIS||VIA DOSSI, 17|CAVALESE|TN|38033|||01|N||
BACHGUTE|BACHGUTE|00|STIEGER H. - LADURNER E.|BACHGUTERHOF|HAUPTSTRASSE, 17|TSCHARS - KASTELBELL|BZ|39020|01447830215||01|N||
BACHMANN|BACHMANN|00|BACHMANN KARL||GAMPENSTR, 121|TISENS|BZ|39010|01540820212|T|01|N||
BAIKY|BAIKY|00|BAIKY PUB|SCHONTHALER ANNELORE & CO. SAS|VIA GARIBALDI, 5|MERANO|BZ|39012|02301240210|1|01|N||
BAPAPA|BAPAPA|00|BARBAPAPA'|DI GAI RUDI|VIA MAINARDO, 152|MERANO|BZ|39012|02300860216|1|01|N||
BATZENHA|BATZENHA|00|REST.BATZENHAUSL|ALOIS ZOZIN OHG|LAUBEN,84|MERAN|BZ|39012|00573390218||01|N||
BAUERN03|BAUERN03|00|BAUERNJUGEND-BEZIRK MERAN|GRUBER NORBERT|INNERDURACH|ST.WALBURG/ ULTEN|BZ|39016|82009710219||01|N||
BAUERN04|BAUERN04|00|BAUERNJUGEND MARLING|GOGELE MICHAEL|KIRCHWEG,22|MARLING|BZ|39020|82013930217||01|N||
BAUERN05|BAUERN05|00|BAUERNJUGEND KUENS|SPECHTENHAUSER MATHIAS|KUENSERSTR. 14|KUENS|BZ|39010|||01|N||
BAUERN06|BAUERN06|00|BAUERNJUGEND RIFFIAN||HOHLGASSE, 51|RIFFIAN|BZ|39010|02201820210||01|N||
BAZZA|BAZZA|00|DITTA BAZZA SILVIO|DI BAZZA GIORGIO & C. SNC|CORSO STATI UNITI, 50|PADOVA|PD|35100|02028780282|1|01|N||
BECHERHA|BECHERHA|00|SCHUTZHUTTE BECHERHAUS|PICHLER ERICH ANSELM|SCHMIEDGASSE, 1|ST. MARTIN PASSEIER|BZ|39010|02254540210||01|N||
BELFUNGO|BELFUNGO|00|BELFUNGO SRL||VIA G. MARCONI, 28|DANTA|BL|32040|00802030254||01|N||
BELSIT|BELSIT|00|HOTEL BEL SIT|WEGLEITER KLAUS|PENDLSTRASSE, 2|MERAN|BZ|39012|00574420212||01|N||
BERGER|BERGER|00|BERGER|JOHANN|FLORIANIWEG, 3|PLAUS|BZ|39025|00718510217||01|N||
BERNHART|BERNHART|00|BERNHART DORIS||MUHLWEG, 4|TSCHARS|BZ|39020|01335100218||01|N||
BERSAGLI|BERSAGLI|00|RISTORANTE BERSAGLIO SAS|DI QUAGLIO MAURO & CO.|VIA LIDO, 2|MERANO|BZ|39012|02222550218|1|01|N||
BERTAGNO|BERTAGNO|00|BERTAGNOLI CARNI SNC|DI B. GIANFRANCO & C.|VIA PRINCIPALE, 41|TRET DI FONDO|TN|38010|00832550222|1|01|N||
BLAAS01|BLAAS01|00|BLAAS FRANZ KG||MERANERSTRASSE, 40|VILPIAN|BZ|39010|01412000216||01|N||
BLAUESSC|BLAUESSC|00|BLAUES SCHIFF|MAREST CATERING GMBH|BOZNERSTRASSE, 59|LANA|BZ|39011|01558240212||01|N||
BOWA|BOWA|00|BOWA KG||GRABMAYRSTRASSE, 49|MERAN|BZ|39012|01118520210||01|N||
BOZNERTO|BOZNERTO|00|RESTAURANT BOZNER TOR|GRUNER ROBERT|LEONARDO DA VINCI STRASSE, 9|MERAN|BZ|39012|01632960215||01|N||
BREITENB|BREITENB|00|REST. BREITENBERGERHOF|WENTER SCHERLIN WALTRAUD|GAMPENSTRASSE, 40|TSCHERMS|BZ|39010|01472770211||01|N||
BRUCCULE|BRUCCU01|00|BRUCCULERI MICHELE|CH.FRUTTA P.ZZA GRANO|VIA SEGANTINI,6|MERANO|BZ|39012|01400690218|1|01|N||
BRUCKE02|BRUCKE02|00|GASTHAUS ZUR BRUCKE|GEORG MITTERER|PRISSIAN|TISENS|BZ|39010|01033750215||01|N||
