CLDECP|CLFACP|CDAGE|RASCL|RASC2|INDCL|LOCCL|PROCL|CCAPCP|PAIVCP|CDLIN|CDLIS|TPIVA|SCONTO
AMTEICH|AMTEICH|07|RESTAURANT AM TEICH VGMBH||KIEFERHAINWEG, 115|PRAD AM STILFSTRJOCH|BZ|39026|03142990211||01|N||
AVINGA|AVINGA|07|GASTHOF AVINGA|CHRISTANDL HUGO|ST.JOHANNSTRASSE,78|TAUFERS|BZ|39020|01104180219||01|N||
CALVA|CALVA|07|CALVA VGMBH||LAATSCH, 140|MALS|BZ|39024|03059020218||01|N||
CHAVALAT|CHAVALAT|07|PENSION CHAVALATSCH|GARAVAGNO LUCAS|ST. JOHANNSTR. 31|TAUFERS I.M.|BZ|39020|02378810218||01|N||
EUROBAR|EUROBAR|07|EUROBAR|DI PRIETH MARGHERITA & C. SAS|KREUZWEG, 2/H|PRATO ALLO STELVIO|BZ|39026|02334870215|1|01|N||
FLURIN|FLURIN|07|FLURIN GMBH||LAUBENGASSE, 2|GLURNS|BZ|39020|02986250211||01|N||
GANDER|GANDER|07|BÄCKEREI-KONDITOREI GANDER|BURGER RENATE|ST. ANTONWEG, 38/A|PRAD|BZ|39026|03320990215||01|N||
GEORG|GEORG|07|GASTHOF ST.GEORG|KOBLER E.& ANGERER W.OHG|AGUMS 36A|PRAD A.STILFSERJOCH|BZ|39026|00603360215||01|N||
GLORIAVA|GLORIAVA|07|GLORIA VALLIS GMBH|D. STEFAN LÄNGERER|WIESENWEG, 5|GLURNS|BZ|39020|02987020217||01|N||
GRUBER02|GRUBER02|07|GRUBER CHRISTIAN & CO KG||KREUZWEG, 15|PRAD|BZ|39026|00858840218||01|N||
HGARDE01|HGARDE01|07|HOGAST ITALIEN EINKAUFSGEN.|FÜR DAS HOTEL- UND GASTGEWERBE|SCHLACHTHOFSTRASSE, 53-B|BOZEN|BZ|39100|01342330212|||N||
HGARDEN|HGARDE01|07|GARDEN PARK HOTEL|ZENTRAL GMBH|HAUPTSTRASSE, 48|PRAD AM STILFSERJOCH|BZ|39026|01342330212||03|N||
HLAMM|HLAMM01|07|NATUR AKTIV HOTEL LAMM|STEINER ANDREAS & CO KG|ST. JOHANN STRASSE, 37|TAUFERS IM MUENSTERTAL|BZ|39020|01342330212||02|N||
HLAMM01|HLAMM01|07|HOGAST ITALIEN EINKAUFSGEN.|FÜR DAS HOTEL- UND GASTGEWERBE|SCHLACHTHOFSTRASSE, 53-B|BOZEN|BZ|39100|01342330212|||N||
HZENTR01|HZENTR01|07|HOGAST ITALIEN EINKAUFSGEN.|FÜR DAS HOTEL- UND GASTGEWERBE|SCHLACHTHOFSTRASSE, 53-B|BOZEN|BZ|39100|01342330212|||N||
HZENTRAL|HZENTR01|07|ZENTRAL GMBH||HAUPTSTRASSE, 100|PRAD AM STILFSERJOCH|BZ|39026|01342330212||03|N||
KINDER24|KINDER24|07|KINDERGARTEN TAUFERS|GEMEINDE TAUFERS I.M.|ST.JOHANNSTRASSE, 26|TAUFERS I.M.|BZ|39020|00414320218||01|N|00850|
LAMM05|LAMM05|07|WALLNÖFER KG - GASTHAUS LAMM|D. WALLNÖFER OSWALD & CO.|LAATSCH, 72|MALS|BZ|39024|01473770210||01|N||
LIDOPRAD|LIDOPRAD|07|EVENT MANAGEMENT DES|MANUEL RUEPP|KIEFERNHAINWEG, 9A|PRAD|BZ|39026|03205540218||01|N||
MAIR02|MAIR02|07|METZGEREI MAIR|KUENRATH ROLAND & CO. OHG|FLORASTRASSE, 32|GLURNS|BZ|39020|00591620216||01|N||
OBERESTI|OBERESTI|07|OBERE STILFSER ALM|GRUBER TABEA|KREUZWEG, 15|PRAD AM STILFSERJOCH|BZ|39026|03119810210||01|N||
PCAMPI04|PCAMPI05|07|CAMPING SÄGEMÜHLE GMBH|ALBERT KARIN KATHERINA|DORNWEG, 12|PRAD AM STILFSERJOCH|BZ|39026|02616790214||02|N||
PCAMPI05|PCAMPI05|07|GASTRO-POOL ITALIEN GMBH||SCHLACHTHOFSTRASSE, 53-B|BOZEN|BZ|39100|02616790214||02|N||
PGRUNE01|PGRUNE01|07|GASTRO-POOL ITALIEN GMBH||SCHLACHTHOFSTRASSE, 53-B|BOZEN|BZ|39100|02616790214||02|N||
PGRUNERB|PGRUNE01|07|GASTHOF GRUENER BAUM|BACHMAYER GMBH|STADTPLATZ, 7|GLURNS|BZ|39020|02616790214||02|N||
PMARKE01|PMARKE01|07|GASTRO-POOL ITALIEN GMBH||SCHLACHTHOFSTRASSE, 53-B|BOZEN|BZ|39100|02616790214||02|N||
PMARKET|PMARKE01|07|MARKET CAMPING SÄGEMÜHLE GMBH|ALBERT KARIN KATHERINA|DORNWEG, 12|PRAD AM STILFSERJOCH|BZ|39026|02616790214||02|N||
POST01|POST01|07|HOTEL POST KG|D.KARNER E.& CO.|FLORASTRASSE,15|GLURNS|BZ|39020|01187950215||01|N||
PRESTA01|PRESTA01|07|GASTRO-POOL ITALIEN GMBH||SCHLACHTHOFSTRASSE, 53-B|BOZEN|BZ|39100|02616790214||02|N||
PRESTAUR|PRESTA01|07|RESTAURANT CAMPING SÄGEMÜHLE GMBH|ALBERT KARIN KATHERINA|DORNWEG, 12|PRAD AM STILFSERJOCH|BZ|39026|02616790214||02|N||
RUNGG01|RUNGG06|07|FRISCHECENTER RUNGG PRAD||KREUZGASSE, 2/B|PRAD AM STILFSERJOCH|BZ|39026|00738950211||01|N||
RUNGG06|RUNGG06|07|MARKET RUNGG GMBH||HAUPTSTRASSE, 71|PRAD AM STILFSERJOCH|BZ|39026|00738950211||01|N||
SANDHEIM|SANDHEIM|07|PIZZ. REST. SANDHEIM|DAGMAR DES MAYR MARKUS & CO. KG|ST. ANTONWEG, 53|PRAD AM STILFSERJOCH|BZ|39026|03184640211||01|N||
SCHUST04|SCHUST04|07|SCHUSTER GMBH||LAATSCH,139|MALS|BZ|39024|00638530212||03|N||
STADTC01|STADTC01|07|STADTCAFE'|MICHAELA DURICOVA|FLORASTRASSE, 18|GLURNS|BZ|39020|03146760214||01|N||
STEINBOC|STEINBOC|07|RESTAURANT STEINBOCK|FLURIN GMBH|FLORASTRASSE, 9|GLURNS|BZ|39020|02986250211||01|N||
WALLNO02|WALLNO02|07|WALLNÖFER KG - DORFLADEN|D. WALLNÖFER OSWALD & CO.|LAATSCH, 72|MALS|BZ|39024|01473770210||01|N||
ZERESS|ZERESS|07|CHRISTANDL MANUEL|RESTAURANT ZERESS|BURGEIS, 300|MALS|BZ|39026|03117590210||01|N||
