CLDECP|CLFACP|CDAGE|RASCL|RASC2|INDCL|LOCCL|PROCL|CCAPCP|PAIVCP|CDLIN|CDLIS|TPIVA|SCONTO
ALBERT|ALBERT|09|ALBERT'S BACKSTUBE DES KNEISSL|CHRISTIAN & CO. KG|PLATT, 8|MOOS IN PASS.|BZ|39013|01385540214||01|N||
ALPENR01|ALPENR01|09|GASTHAUS ALPENROSE|PFITSCHER & CO. OHG|JAUFENSTRASSE, 8 - WALTEN|ST. LEONHARD IN PASSEIER|BZ|39015|01174450211||01|N||
ALPENR04|ALPENR04|09|GASTHOF ALPENROSE|ALBER HELMUTH|GOMION,1|ST.LEONHARD/PASSEIER|BZ|39015|01617880214||03|N||
ALTERS02|ALTERS02|09|SENIORENHEIM ST. BENEDIKT|DER GEM. RIFFIAN KUENS ST. MARTIN|GARBERWEG, 1|ST.MARTIN IN PASSEIER|BZ|39010|02817310218|||N|00600|
ALTERS04|ALTERS04|09|ALTERSHEIM ST. BARBARA|KONS. SENIORENDIENSTE PASSEIER|KIRCHWEG, 40|ST. LEONHARD IN PASSEIER|BZ|39015|01286080211|||N|02980|
ALTERS15|ALTERS15|09|EMPORIUM GENOSSENSCHAFT|CIG: Z7B1258CD3 - COD: 100.025|INNSBRUCKERSTRASSE, 29|BOZEN|BZ|39100|02607440217|||N||
BADSAND|BADSAND|09|RESIDENCE GASTHAUS BAD SAND|GOGELE CHRISTOPH|PLATTERSTRASSE, 1|MOOS|BZ|39013|02371670213||01|N||
BERGKRIS|BERGKRIS|09|BAR BERGKRISTALL|DES RAFFL GERHARD|PFELDERS, 103|MOOS IN PASS.|BZ|39013|02357480215||03|N||
BERGLA02|BERGLA02|09|HOTEL BERGLAND|WAGE GMBH|SCHLOSSWEG, 2|ST. LEONHARD IN PASS.|BZ|39015|02503160216||03|N||
BREITEBE|BREITEBE|09|GASTHOF BREITEBEN KG|DER WILHELM ANNA & CO.|BREITEBNERSTRASSE, 3|ST. MARTIN IN PASSEIER|BZ|39010|00739820215||01|N||
BRUCKENW|BRUCKENW|09|GASTHAUSBRAUEREI BRUCKENWIRT OHG|DES FONTANA MARTIN & CO.|BREITEBNERSTRASSE, 2|ST. MARTIN / PASSEIER|BZ|39010|02666240219||03|N||
BUCHERKE|BUCHERKE|09|BUCHERKELLER KG|DER WALZL ERIKA & CO.|KELLERLAHN, 4|ST. LEONHARD/PASS.|BZ|39015|01722830211||03|N||
C+C|C+C|09|C+C SUPERMARKET PASSEIER|PLATTER WERNER & CO.OHG|DORFSTRASSE, 51|ST. MARTIN / PASSEIER|BZ|39010|00237310214||01|N|00200|
CAMPIN03|CAMPIN04|09|CAMPING PASSEIER|TROMPEDELLER STEPHAN|PASSEIRERSTRASSE, 10|ST. MARTIN|BZ|39010|02817810217||03|N||
CAMPIN04|CAMPIN04|09|CAMPING PASSEIER|TROMPEDELLER STEPHAN|GEWERBEZONE, 15|ST. LEONHARD|BZ|39015|02817810217||03|N||
DORFCA03|DORFCA03|09|DORFCAFE' KOFLER|KOFLER CHRISTIAN & CO. KG|DORFSTRASSE, 28 A|ST. MARTIN/PASS.|BZ|39010|03031340213||01|N||
EDELWE01|EDELWE01|09|GASTHOF EDELWEISS|KOFLER HELGA|ZEPPICHLERSTR. 12|MOOS IN PASSEIER|BZ|39013|00746850213||03|N||
